1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
336	0.900196	0.000000	5.618935	0.015286	20.4
337	0.938891	0.000000	5.618935	0.015648	23.2
338	0.928011	0.000000	5.618935	0.015866	21.9
339	0.959140	0.000000	5.618935	0.015172	18.4
340	0.931246	0.000000	5.618935	0.014397	21.0
341	0.941004	0.000000	5.618935	0.016868	25.2
342	0.942288	0.000000	5.618935	0.015481	21.2
343	0.932326	0.000000	5.618935	0.015884	23.1
344	0.940739	0.000000	5.618935	0.014916	23.7
345	0.902921	0.000000	5.618935	0.015133	26.5
346	0.911064	0.000000	5.618935	0.015370	20.0
347	0.938458	0.000000	5.618935	0.017088	23.6
348	0.907593	0.000000	5.618935	0.016171	22.4
349	0.911993	0.000000	5.618935	0.014932	23.3
350	0.930121	0.000000	5.618935	0.015503	20.5
351	0.933042	0.000000	5.618935	0.015308	23.6
352	0.888843	0.000000	5.618935	0.015151	19.3
353	0.886684	0.000000	5.618935	0.014691	21.4
354	0.872965	0.000000	5.618935	0.013951	21.0
355	0.932591	0.000000	5.618935	0.014749	20.9
356	0.886720	0.000000	5.618935	0.015208	18.0
357	0.925923	0.000000	5.618935	0.014016	22.0
358	0.930827	0.000000	5.618935	0.013937	20.8
359	0.909015	0.000000	5.618935	0.014538	18.3
360	0.881654	0.000000	5.618935	0.014105	19.4
361	0.852766	0.000000	5.618935	0.016191	18.1
362	0.888638	0.000000	5.618935	0.014129	22.8
363	0.897937	0.000000	5.618935	0.015018	26.1
364	0.875136	0.000000	5.618935	0.014580	25.0
365	0.891378	0.000000	5.618935	0.014601	23.9
366	0.838119	0.000000	5.618935	0.013786	20.6
367	0.853915	0.000000	5.618935	0.014106	22.1
368	0.941625	0.000000	5.618935	0.015051	22.6
369	0.894728	0.000000	5.618935	0.015130	23.0
370	0.897705	0.000000	5.618935	0.013717	20.6
371	0.915688	0.000000	5.618935	0.015490	22.1
372	0.901108	0.000000	5.618935	0.016309	20.5
373	0.874242	0.000000	5.618935	0.013948	21.8
374	0.917834	0.000000	5.618935	0.015620	20.2
375	0.912341	0.000000	5.618935	0.014317	19.8
376	0.900025	0.000000	5.618935	0.014105	19.8
377	0.851915	0.000000	5.618935	0.012870	24.1
378	0.890274	0.000000	5.618935	0.014712	33.8
379	0.875355	0.000000	5.618935	0.014443	21.0
380	0.870010	0.000000	5.618935	0.013827	22.8
381	0.883065	0.000000	5.618935	0.013670	23.5
382	0.893219	0.000000	5.618935	0.013108	23.0
383	0.897117	0.000000	5.618935	0.013168	19.8
384	0.873773	0.000000	5.618935	0.014277	23.3
385	0.899032	0.000000	5.618935	0.013931	22.4
386	0.912135	0.000000	5.618935	0.014588	20.6
387	0.864768	0.000000	5.618935	0.013542	19.5
388	0.884683	0.000000	5.618935	0.013381	21.4
389	0.874786	0.000000	5.618935	0.013368	23.5
390	0.893988	0.000000	5.618935	0.013982	22.6
391	0.861624	0.000000	5.618935	0.012972	21.7
392	0.870602	0.000000	5.618935	0.013679	23.9
393	0.860264	0.000000	5.618935	0.013268	22.1
394	0.846883	0.000000	5.618935	0.014903	20.9
395	0.847807	0.000000	5.618935	0.012639	25.3
396	0.906472	0.000000	5.618935	0.013756	20.0
397	0.857143	0.000000	5.618935	0.013340	27.2
398	0.825584	0.000000	5.618935	0.014026	21.1
399	0.895006	0.000000	5.618935	0.015328	22.9
400	0.837859	0.000000	5.618935	0.013672	22.7
401	0.874856	0.000000	5.618935	0.012587	21.5
402	0.833896	0.000000	5.618935	0.013685	21.1
403	0.888157	0.000000	5.618935	0.012675	22.0
404	0.855936	0.000000	5.618935	0.013836	21.5
405	0.866289	0.000000	5.618935	0.013498	26.9
406	0.878931	0.000000	5.618935	0.014776	19.7
407	0.852572	0.000000	5.618935	0.014115	24.6
408	0.868482	0.000000	5.618935	0.014211	22.2
409	0.873562	0.000000	5.618935	0.013264	26.6
410	0.842164	0.000000	5.618935	0.011901	21.5
411	0.863992	0.000000	5.618935	0.012748	20.0
412	0.885267	0.000000	5.618935	0.015077	20.0
413	0.855407	0.000000	5.618935	0.012518	18.4
414	0.905510	0.000000	5.618935	0.013371	19.5
415	0.863529	0.000000	5.618935	0.013492	19.6
416	0.900647	0.000000	5.618935	0.013055	18.2
417	0.824106	0.000000	5.618935	0.013157	20.6
418	0.850563	0.000000	5.618935	0.012917	18.6
419	0.844426	0.000000	5.618935	0.012429	20.9
420	0.886030	0.000000	5.618935	0.012655	22.9
421	0.858402	0.000000	5.618935	0.012518	22.9
422	0.862053	0.000000	5.618935	0.013600	21.8
423	0.833219	0.000000	5.618935	0.013220	20.2
424	0.833328	0.000000	5.618935	0.012311	20.7
425	0.842805	0.000000	5.618935	0.011693	21.7
426	0.856161	0.000000	5.618935	0.012345	19.5
427	0.833533	0.000000	5.618935	0.014333	21.7
428	0.902632	0.000000	5.618935	0.013344	18.5
429	0.842123	0.000000	5.618935	0.012428	21.0
430	0.867953	0.000000	5.618935	0.012578	21.1
431	0.852101	0.000000	5.618935	0.012637	21.4
432	0.834290	0.000000	5.618935	0.013980	20.3
433	0.835669	0.000000	5.618935	0.012557	21.9
434	0.820315	0.000000	5.618935	0.014282	21.9
435	0.847418	0.000000	5.618935	0.014185	19.5
436	0.851915	0.000000	5.618935	0.011747	19.9
437	0.877643	0.000000	5.618935	0.013815	21.3
438	0.857015	0.000000	5.618935	0.013622	26.6
439	0.823390	0.000000	5.618935	0.013109	21.9
440	0.821680	0.000000	5.618935	0.012658	21.1
441	0.863374	0.000000	5.618935	0.011896	25.8
