1:ItNr	2:Metric	2:Metric0	2:Metric1	2:Metric2	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient2||	4:||Gradient||	Time0[ms]	Time1[ms]	Time2[ms]	Time[ms]
255	-1.073783	-0.587297	-0.486497	0.000010	4.893629	649.292269	0.001717	0.002117	0.000000	0.002810	1.2	1.7	1.1	6.2
256	-1.059221	-0.587162	-0.472068	0.000010	5.487959	634.723631	0.001609	0.002205	0.000000	0.003265	1.1	1.9	1.4	10.0
257	-1.029206	-0.546484	-0.482733	0.000010	4.980550	647.119995	0.001607	0.002700	0.000000	0.002653	1.1	1.8	1.6	7.9
258	-1.091620	-0.587104	-0.504526	0.000010	4.189243	667.448937	0.001389	0.002459	0.000000	0.002955	1.2	1.8	1.3	6.5
259	-1.015485	-0.545674	-0.469820	0.000009	3.484809	686.651605	0.001233	0.001927	0.000000	0.002737	1.2	2.0	1.2	6.3
260	-1.069477	-0.574684	-0.494803	0.000010	4.482311	659.772704	0.002105	0.004377	0.000000	0.006025	1.2	2.0	1.1	6.3
261	-1.070076	-0.581620	-0.488467	0.000010	5.236183	640.814751	0.001339	0.002014	0.000000	0.002753	1.2	1.8	1.3	6.4
262	-1.027898	-0.546264	-0.481643	0.000010	6.235641	617.298976	0.001636	0.002184	0.000000	0.002987	1.3	1.8	1.2	6.5
263	-0.990494	-0.548720	-0.441784	0.000010	7.166105	596.906585	0.001919	0.002305	0.000000	0.003320	1.2	1.7	1.0	8.0
264	-1.089777	-0.601151	-0.488636	0.000010	6.372448	614.213741	0.001401	0.002589	0.000000	0.003531	1.3	1.9	1.1	8.6
265	-1.030899	-0.557831	-0.473077	0.000010	5.578972	632.550164	0.001438	0.002301	0.000000	0.003336	1.2	1.7	2.2	9.4
266	-1.052256	-0.573654	-0.478612	0.000010	4.789640	651.910363	0.001454	0.002095	0.000000	0.002768	2.7	1.9	1.3	12.0
267	-1.014988	-0.557301	-0.457697	0.000011	5.787815	627.618701	0.002002	0.003241	0.000000	0.004378	1.3	1.8	1.3	8.5
268	-1.024090	-0.556543	-0.467557	0.000010	6.783303	605.130845	0.001431	0.002671	0.000000	0.003248	1.2	2.0	1.3	8.4
269	-1.058113	-0.572847	-0.485277	0.000010	6.066893	621.147522	0.001183	0.002380	0.000000	0.003137	1.2	2.0	1.3	6.4
270	-1.077241	-0.599179	-0.478073	0.000011	6.280467	616.284663	0.001608	0.002442	0.000000	0.003471	1.1	1.8	1.3	10.1
271	-1.030692	-0.543247	-0.487455	0.000010	7.233275	595.486463	0.001225	0.001998	0.000000	0.002784	1.1	1.8	1.3	5.9
272	-1.094476	-0.599484	-0.495002	0.000010	7.816498	583.434295	0.001429	0.002335	0.000000	0.003255	1.1	1.6	1.2	5.7
273	-1.019801	-0.539758	-0.480053	0.000010	7.023794	599.937796	0.001485	0.002229	0.000000	0.002491	1.0	1.8	1.2	5.9
274	-1.052298	-0.578895	-0.473412	0.000010	7.628292	587.269868	0.001401	0.002173	0.000000	0.002819	1.1	1.8	1.3	8.4
275	-1.027635	-0.568736	-0.458910	0.000011	6.875367	603.132280	0.001096	0.002456	0.000000	0.003005	1.3	1.9	1.4	6.5
276	-1.126988	-0.602198	-0.524800	0.000010	6.087462	620.675837	0.001224	0.002583	0.000000	0.003019	1.1	1.8	1.3	9.8
